pais,tipo_energia,total_gerado,unidade
Montserrat,Other Fossil,0.23000000000000007,TWh
"Saint Helena, Ascension and Tristan da Cunha",Other Fossil,0.23000000000000007,TWh
Congo (the Democratic Republic of the),Other Fossil,0.20000000000000007,TWh
Namibia,Other Fossil,0.18000000000000005,TWh
Nepal,Other Fossil,0.15,TWh
Eswatini,Other Fossil,0.13999999999999999,TWh
Belize,Gas,0.05,TWh
Georgia,Coal,0.05,TWh
Estonia,Coal,0.04,TWh
Guatemala,Gas,0.03,TWh
Iceland,Other Fossil,0.02,TWh
Guyana,Gas,0.02,TWh
Paraguay,Other Fossil,0.01,TWh
Mauritania,Nuclear,0.0,TWh
Tunisia,Nuclear,0.0,TWh
Syrian Arab Republic (the),Nuclear,0.0,TWh
Mongolia,Gas,0.0,TWh
Georgia,Nuclear,0.0,TWh
Eswatini,Nuclear,0.0,TWh
Venezuela (Bolivarian Republic of),Nuclear,0.0,TWh
Saint Pierre and Miquelon,Coal,0.0,TWh
Bhutan,Gas,0.0,TWh
Djibouti,Gas,0.0,TWh
Viet Nam,Nuclear,0.0,TWh
Comoros (the),Gas,0.0,TWh
Guam,Coal,0.0,TWh
Guinea,Gas,0.0,TWh
Grenada,Nuclear,0.0,TWh
Hong Kong,Nuclear,0.0,TWh
Guinea,Coal,0.0,TWh
Somalia,Coal,0.0,TWh
Solomon Islands,Gas,0.0,TWh
Liberia,Coal,0.0,TWh
"Palestine, State of",Nuclear,0.0,TWh
Luxembourg,Nuclear,0.0,TWh
Kosovo,Gas,0.0,TWh
Egypt,Coal,0.0,TWh
American Samoa,Coal,0.0,TWh
Colombia,Nuclear,0.0,TWh
Guinea-Bissau,Coal,0.0,TWh
Tonga,Coal,0.0,TWh
Zambia,Gas,0.0,TWh
Burkina Faso,Coal,0.0,TWh
Albania,Nuclear,0.0,TWh
Peru,Nuclear,0.0,TWh
Bhutan,Nuclear,0.0,TWh
Vanuatu,Coal,0.0,TWh
Antigua and Barbuda,Gas,0.0,TWh
Jordan,Nuclear,0.0,TWh
Montenegro,Other Fossil,0.0,TWh
Cook Islands (the),Nuclear,0.0,TWh
Niger (the),Nuclear,0.0,TWh
Nepal,Coal,0.0,TWh
Gibraltar,Nuclear,0.0,TWh
Sierra Leone,Nuclear,0.0,TWh
Falkland Islands (the) [Malvinas],Nuclear,0.0,TWh
Ethiopia,Gas,0.0,TWh
Costa Rica,Coal,0.0,TWh
Puerto Rico,Nuclear,0.0,TWh
Congo (the),Coal,0.0,TWh
Guyana,Coal,0.0,TWh
Bhutan,Other Fossil,0.0,TWh
South Sudan,Gas,0.0,TWh
Nigeria,Nuclear,0.0,TWh
Tunisia,Coal,0.0,TWh
Bahrain,Coal,0.0,TWh
French Polynesia,Coal,0.0,TWh
Niue,Coal,0.0,TWh
Somalia,Gas,0.0,TWh
Portugal,Nuclear,0.0,TWh
Guinea,Nuclear,0.0,TWh
Aruba,Nuclear,0.0,TWh
Greenland,Gas,0.0,TWh
Lao People's Democratic Republic (the),Gas,0.0,TWh
Saint Lucia,Nuclear,0.0,TWh
El Salvador,Nuclear,0.0,TWh
Tonga,Nuclear,0.0,TWh
Guyana,Nuclear,0.0,TWh
Ghana,Coal,0.0,TWh
Greenland,Coal,0.0,TWh
Sri Lanka,Gas,0.0,TWh
Gibraltar,Coal,0.0,TWh
Austria,Nuclear,0.0,TWh
Guam,Nuclear,0.0,TWh
Kuwait,Coal,0.0,TWh
Qatar,Coal,0.0,TWh
Macao,Nuclear,0.0,TWh
Samoa,Coal,0.0,TWh
Ethiopia,Nuclear,0.0,TWh
Malawi,Coal,0.0,TWh
Armenia,Coal,0.0,TWh
Kiribati,Coal,0.0,TWh
